,sid,doc_id,sent_idx,passive,active
102,GUM_textbook_entrepreneurship-26,GUM_textbook_entrepreneurship,25,"The innovator’s dilemma was presented by Clayton Christensen to explain disruptive technology, which are technologies that, once introduced, displace established patterns, processes, and systems previously accepted as normal or accepted.","Clayton Christensen presented the innovator’s dilemma to explain disruptive technology, which are technologies that, once introduced, displace established patterns, processes, and systems previously accepted as normal or accepted."
103,GUM_textbook_evoethics-7,GUM_textbook_evoethics,6,"We seem to think moral questions have correct answers; that the correct answers are made correct by objective moral facts; that moral facts are wholly determined by circumstances; and that, by engaging in moral conversation and argument, we can discover what these objective facts are.","We seem to think moral questions have correct answers; that objective moral facts make the correct answers correct; that moral facts are wholly determined by circumstances; and that, by engaging in moral conversation and argument, we can discover what these objective facts are."
104,GUM_textbook_evoethics-18,GUM_textbook_evoethics,17,Street starts with the premise that our moral judgments are influenced by evolutionary forces.,Street starts with the premise that evolutionary forces influence our moral judgments.
105,GUM_textbook_evoethics-41,GUM_textbook_evoethics,40,"Given that our moral beliefs are influenced by evolutionary forces, and not by the moral facts, our moral beliefs would be the same even if the moral facts would change.","Given that evolutionary forces, and not the moral facts influence our moral beliefs, our moral beliefs would be the same even if the moral facts would change."
106,GUM_textbook_grit-24,GUM_textbook_grit,23,This personality trait was defined as “grit” by the psychologist Angela Duckworth. 1,The psychologist Angela Duckworth defined this personality trait as “grit”. 1
107,GUM_textbook_sociology-23,GUM_textbook_sociology,22,"Europe’s colonial expansion, begun in the sixteenth century, was often accompanied by a severe cultural imperialism.","A severe cultural imperialism often accompanied Europe’s colonial expansion, begun in the sixteenth century,."
108,GUM_textbook_sociology-29,GUM_textbook_sociology,28,An exchange student from China might be annoyed by the constant interruptions in class as other students ask questions—a practice that is considered rude in China.,The constant interruptions in class as other students ask questions—a practice that is considered rude in China might annoy an exchange student from China.
109,GUM_textbook_spacetime-6,GUM_textbook_spacetime,5,Is light actually bent from its straight-line path by the mass of Earth?,Is the mass of Earth actually bends light from its straight-line path?
110,GUM_textbook_spacetime-7,GUM_textbook_spacetime,6,"How can light, which has no mass, be affected by gravity?","How can gravity affect light, which has no mass,?"
111,GUM_textbook_spacetime-8,GUM_textbook_spacetime,7,"Einstein preferred to think that it is space and time that are affected by the presence of a large mass; light beams, and everything else that travels through space and time, then find their paths affected.","Einstein preferred to think that it is space and time that the presence of a large mass affects; light beams, and everything else that travels through space and time, then find their paths affected."
112,GUM_vlog_pizzeria-109,GUM_vlog_pizzeria,108,"I love how they're, like, mesmerized by the pizza.",I love how the pizza mesmerizes them.
113,GUM_vlog_wine-33,GUM_vlog_wine,32,It was discovered in the year of 1925 by a professor called Abraham Perold in the University of Stellenbosch.,A professor called Abraham Perold discovered it in the year of 1925 in the University of Stellenbosch.
114,GUM_voyage_cleveland-18,GUM_voyage_cleveland,17,"Serving as a global model for urban rebirth, Cleveland has been named one of the top 10 international visitor hotspots by Travel and Leisure magazine.","Serving as a global model for urban rebirth, Travel and Leisure magazine has named Cleveland one of the top 10 international visitor hotspots."
115,GUM_voyage_fortlee-15,GUM_voyage_fortlee,14,"Fort Lee is bordered by Edgewater, Englewood Cliffs, Cliffside Park and Leonia.","Edgewater, Englewood Cliffs, Cliffside Park and Leonia border Fort Lee."
116,GUM_voyage_fortlee-22,GUM_voyage_fortlee,21,Fort Lee can also be accessed by boat or ferry from New York City via Edgewater and Weehawken docks.,Boat or ferry can also access Fort Lee from New York City via Edgewater and Weehawken docks.
117,GUM_voyage_fortlee-26,GUM_voyage_fortlee,25,"Old and new meet in Fort Lee, as the Good Shepherd Episcopalian Church is dwarfed by a residential highrise immediately behind it","Old and new meet in Fort Lee, as a residential highrise dwarfs the Good Shepherd Episcopalian Church immediately behind it"
118,GUM_voyage_fortlee-43,GUM_voyage_fortlee,42,The George Washington Bridge can be crossed by bicycle or on foot as well as in a motorized vehicle.,Bicycle or on foot as well as in a motorized vehicle can cross the George Washington Bridge.
119,GUM_voyage_guadeloupe-36,GUM_voyage_guadeloupe,35,"Some are within 5 – 10 minutes walking distance from the nearest parking lot, some require at least 3 – 4 hours of hiking (those are, of course less frequented by other tourists and you might find yourself alone at a spectacular waterfall in the middle of nowhere - an amazing experience!).","Some are within 5 – 10 minutes walking distance from the nearest parking lot, some require at least 3 – 4 hours of hiking (other tourists less frequent those and you might find yourself alone at a spectacular waterfall in the middle of nowhere-an amazing experience!)."
120,GUM_voyage_isfahan-29,GUM_voyage_isfahan,28,The square is surrounded by buildings from the Safavid era.,Buildings from the Safavid era surround the square.
121,GUM_voyage_lodz-16,GUM_voyage_lodz,15,The rapid development of Łódź in the second half of the 19th century was brought about by the rise of enormous industrialist fortunes.,The rise of enormous industrialist fortunes brought the rapid development of Łódź in the second half of the 19th century about.
122,GUM_voyage_lodz-22,GUM_voyage_lodz,21,"The day before the outbreak of World War II, Łódź was inhabited by approximately 672,000 people, among whom 35% were of Jewish faith and some 15% were ethnic German.","The day before the outbreak of World War II, approximately 672,000 people, among whom 35% were of Jewish faith and some 15% were ethnic German inhabited Łódź."
123,GUM_voyage_merida-13,GUM_voyage_merida,12,The city was founded by the Spanish conquistadors in the 1540s on top of a centuries-old Maya city called T'ho.,The Spanish conquistadors in the 1540s founded the city on top of a centuries-old Maya city called T'ho.
124,GUM_voyage_phoenix-11,GUM_voyage_phoenix,10,The Salt and Verde Rivers of central Arizona were exploited for large-scale agriculture by Native Americans as early as the 11th century.,Native Americans exploited the Salt and Verde Rivers of central Arizona for large-scale agriculture as early as the 11th century.
125,GUM_voyage_socotra-43,GUM_voyage_socotra,42,"Although the region is small, it is characterized by unique land and marine biodiversity.","Although the region is small, unique land and marine biodiversity characterizes it."
126,GUM_voyage_socotra-44,GUM_voyage_socotra,43,The interior of the island is dominated by the beautiful and green Hagghier mountains and limestone plateau.,The beautiful and green Hagghier mountains and limestone plateau dominate the interior of the island.
127,GUM_voyage_sydfynske-5,GUM_voyage_sydfynske,4,"The islands were formed during the last ice age, by ice sliding over the area from the south, only the ancient hilltops was spared from submersion, and forms the many islands and islets peaking above the sea everywhere.",", ice sliding over the area from the south, only the ancient hilltops was spared from submersion, and forms the many islands and islets peaking above the sea everywhere formed the islands during the last ice age."
128,GUM_voyage_sydfynske-17,GUM_voyage_sydfynske,16,"The main entry points are Svendborg which is easily reach both by highway, bus and train - and Faaborg, which is best reached by bus from Odense.","The main entry points are Svendborg which both highway, bus and train easily reaches-and Faaborg, which is best reached by bus from Odense."
129,GUM_voyage_sydfynske-23,GUM_voyage_sydfynske,22,"While some islands are connected by the same ferry, you will generally have to go back to the mainland to pass between the islands, if you rely on public transportation.","While the same ferry connects some islands, you will generally have to go back to the mainland to pass between the islands, if you rely on public transportation."
130,GUM_voyage_thailand-24,GUM_voyage_thailand,23,shorts are primarily worn by laborers and schoolchildren.,Laborers and schoolchildren primarily wear shorts.
131,GUM_voyage_thailand-47,GUM_voyage_thailand,46,Monks will sometimes be aided by a layman who will accept things from women merit-makers on their behalf.,A layman who will accept things from women merit-makers on their behalf will sometimes aid monks.
132,GUM_voyage_tulsa-15,GUM_voyage_tulsa,14,"Tulsa has one of the largest concentrations of Art Deco in the nation, having been a booming city during the 1920s when the architecture was first built by rich oil barons who built stately mansions and turned the Downtown area into a treasure trove of art.","Tulsa has one of the largest concentrations of Art Deco in the nation, having been a booming city during the 1920s when rich oil barons who built stately mansions and turned the Downtown area into a treasure trove of art first builded the architecture."
133,GUM_voyage_tulsa-49,GUM_voyage_tulsa,48,North / South is divided by Admiral Blvd.,Admiral Blvd divide North / South.
134,GUM_voyage_york-8,GUM_voyage_york,7,"York was known as Eboracum by the Romans, who founded the fortress city on the River Ouse in the year 71.","The Romans, who founded the fortress city on the River Ouse in the year 71 knew York as Eboracum."
135,GUM_whow_arrogant-48,GUM_whow_arrogant,47,"When they are cruel, their friends will usually ignore it or not do anything to stop it since they're afraid that they'll be treated badly by their 'friend.'","When they are cruel, their friends will usually ignore it or not do anything to stop it since they're afraid that their 'friend.''ll treat them badly"
136,GUM_whow_basil-17,GUM_whow_basil,16,"Basil needs warm air and sun to do well, so it's often easiest to start the seeds indoors instead of risking that they'll get damaged by frost.","Basil needs warm air and sun to do well, so it's often easiest to start the seeds indoors instead of risking that frost'll damage them."
137,GUM_whow_parachute-37,GUM_whow_parachute,36,"Your reserve chute should have been packed by a certified rigger and is moderately less likely to fail; therefore, it may be helpful to focus your efforts on opening your reserve parachute.","A certified rigger should have packed your reserve chute and is moderately less likely to fail; therefore, it may be helpful to focus your efforts on opening your reserve parachute."
138,GUM_whow_quidditch-41,GUM_whow_quidditch,40,Alternatively the snitch can be a small yellow ball (tennis balls work great) that is hidden before the game starts by a bystander or referee.,Alternatively the snitch can be a small yellow ball (tennis balls work great) that a bystander or referee hides before the game starts.
